Class,Day,Time Slot,Classroom
,Monday,08:00-09:00,4007
,Monday,08:00-09:00,4003
,Monday,08:00-09:00,4105
,Monday,09:00-10:00,4007
,Monday,09:00-10:00,4003
,Monday,09:00-10:00,4105
,Monday,10:00-11:00,4005
,Monday,11:00-12:00,4005
,Monday,14:00-15:00,4007
,Monday,15:00-16:00,4007
,Tuesday,08:00-09:00,4304
,Tuesday,08:00-09:00,4003
,Tuesday,08:00-09:00,4105
,Tuesday,09:00-10:00,4304
AIML-A,Tuesday,09:00-10:00,4003
,Tuesday,09:00-10:00,4105
,Tuesday,10:00-11:00,4307
,Tuesday,11:00-12:00,4307
,Tuesday,14:00-15:00,4007
,Tuesday,15:00-16:00,4007
,Wednesday,08:00-09:00,4304
,Wednesday,08:00-09:00,4003
,Wednesday,08:00-09:00,4105
,Wednesday,09:00-10:00,4304
,Wednesday,09:00-10:00,4003
,Wednesday,09:00-10:00,4105
,Wednesday,10:00-11:00,4307
,Wednesday,11:00-12:00,4005
,Wednesday,14:00-15:00,4105
,Wednesday,15:00-16:00,4105
,Friday,10:00-11:00,4307
,Friday,11:00-12:00,4005
,,,
,Monday,9:00-10:00,4005
,Monday,10:00-11:00,4105
,Monday,10:00-11:00,4003
,Monday,10:00-11:00,4304
,Monday,11:00-12:00,4105
,Monday,11:00-12:00,4003
,Monday,11:00-12:00,4304
,Tuesday,9:00-10:00,4006
,Tuesday,10:00-11:00,4105
,Tuesday,10:00-11:00,4003
,Tuesday,10:00-11:00,4304
,Tuesday,11:00-12:00,4105
,Tuesday,11:00-12:00,4003
,Tuesday,11:00-12:00,4304
,Tuesday,14:00-15:00,4005
,Tuesday,15:00-16:00,4006
AIML-B,Wednesday,9:00-10:00,4005
,Wednesday,10:00-11:00,4105
,Wednesday,10:00-11:00,4003
,Wednesday,10:00-11:00,4007
,Wednesday,11:00-12:00,4105
,Wednesday,11:00-12:00,4003
,Wednesday,11:00-12:00,4007
,Wednesday,14:00-15:00,4006
,Wednesday,15:00-16:00,4005
,Thursday,9:00-10:00,4005
,Thursday,10:00-11:00,4003
,Thursday,10:00-11:00,4304
,Thursday,10:00-11:00,4105
,Thursday,11:00-12:00,4003
,Thursday,11:00-12:00,4304
,Thursday,11:00-12:00,4105
,,,
,,,
,Monday,10:00-11:00,4307
,Monday,11:00-12:00,4307
,Monday,14:00-15:00,4105
,Monday,14:00-15:00,4304
,Monday,14:00-15:00,4003
,Monday,15:00-16:00,4105
,Monday,15:00-16:00,4304
,Monday,15:00-16:00,4003
,Monday,16:00-17:00,4007
,Monday,17:00-18:00,4007
,Tuesday,14:00-15:00,4006
,Tuesday,15:00-16:00,4005
,Tuesday,16:00-17:00,4005
,Tuesday,17:00-18:00,4005
,Thursday,10:00-11:00,4007
AIML-C,Thursday,11:00-12:00,4007
,Thursday,14:00-15:00,4007
,Thursday,14:00-15:00,4105
,Thursday,14:00-15:00,4304
,Thursday,15:00-16:00,4007
,Thursday,15:00-16:00,4105
,Thursday,15:00-16:00,4304
,Thursday,16:00-17:00,4307
,Friday,11:00-12:00,4006
,Friday,14:00-15:00,4304
,Friday,14:00-15:00,4003
,Friday,14:00-15:00,4105
,Friday,15:00-16:00,4304
,Friday,15:00-16:00,4003
,Friday,15:00-16:00,4105
